user,waktu,barang,review,rating
A***s,04/01/2024,Nabati Ahh Box isi 20,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Gery Krekers Beras pack isi 10 sct,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Deka Mixed Nut (Kacang Campur) Renceng pack isi 10 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Garuda Rosta Renceng isi 10 pcs,,5
A***s,04/01/2024,Nissin Mini Stick pack isi 10 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,tricks potato snack,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,go potato biskuit kentang 20 pcs,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
A***s,04/01/2024,Nabati Time Break 48gr pack isi 10 sct,"seller fast respon, sesuai pesanan, kalau kosong, pasti konfirmasi dl. thanks ya",5
Maisatun,04/01/2024,Sarimi Gelas Renceng isi 10 pcs,"dua kali beli disini 
respon seller gercep, pertahankan 
pengemasan aman 
pengiriman standar 
recommended",5
P***a,04/01/2024,Finna Sambel Terasi Uleg Renteng isi 10 sct,pesanan sesuai. exp lama. terima kasih,5
nida,04/01/2024,Sarimi Gelas Renceng isi 10 pcs,mantap sekali kk... sesuai pesanan kk,5
Z***r,04/01/2024,so nice sosis toples isi 24 pcs,pengiriman seminggu lebih. tolong jangan pakai JNE,2
Rania,04/01/2024,Nyam Nyam Fun Play Box isi 12 pcs,,3
e***o,05/12/2023,Fullo pack pede isi 24pcs,"Fullo yang dikirimkan beda varian, pesan varian vanilla dikirim coklat",1
Devita,05/12/2023,Sarimi Gelas Renceng isi 10 pcs,"terima kasih, produk telah sampai dengan aman,
harga cukup terjangkau, packingan aman, semoga bs order lg di sini, exp. masih jauuuh,
recomended seller.",5
A***a,05/12/2023,Teh Poci Celup Box isi 25 kantong,"sesuai, paket diterima dengan baik dan sesuai estimasi. thx.",5
A***a,05/12/2023,Formula Sikat Gigi Extreme Clean Soft,"sesuai, paket diterima dengan baik dan sesuai estimasi. thx.",5
s***o,05/12/2023,Finna Sambel Terasi Uleg Renteng isi 10 sct,"Tokonya recommended! Sellernya fastrespon dan ramah, proses order ke pengiriman jg cepet. Top deh",5
Kirianto,05/12/2023,kacang atom bledugh 400gr,"Barang sesuai deskripsi, enak, kriuk, susah berhenti makan ini",5
S***l,05/12/2023,Autan Renceng 12 Sachet,cepat,5
Ida,05/12/2023,Oreo Roll,pesannya rasa ice creaam tp yang datang kok rasa original mana ada yg renyek jugaa,3
N***a,05/12/2023,Khong Guan Malkist Renceng isi 10 pcs,remuk padal udh pake kardus,5
K***i,05/12/2023,superstar triple coklat,okeee,5
K***i,05/12/2023,Nabati Ahh Box isi 20,sippppp,5
K***i,05/12/2023,Inaco jelly 5,okee,5
K***i,05/12/2023,Sarimi Gelas Renceng isi 10 pcs,okeee,5
a***n,05/12/2023,Tepung Terigu Tulip 1kg,sesuai pesanan,5
r***n,05/12/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),barang mendarat dengan selamat sesuai pesanan dan terima kasih,5
A***d,05/12/2023,Molto Renceng 500 isi 12 sct,"Best before(?) 03/23 dan 07/23 
kagak ditelan juga sih 🗿👍.",5
A***h,05/12/2023,Delfi Hot Cocoa renceng isi 10 sct,mantab amanah cepet penangananya,5
A***d,05/12/2023,Slai Olai Biskuit 240gr,sipp. ED. 09/2024,5
citra,05/12/2023,Garuda Ting-Ting permen bag isi 50pcs,"Sesuai deskripi, seller fast respon. Packing aman.Suwun.",5
citra,05/12/2023,Pepsodent 25gr,"Sesuai deskripi, seller fast respon. Packing aman.Suwun.",5
A***s,05/12/2023,Khong Guan Classic Chocolate Wafer 350gr,"beli ke2 kali, dapet bonus pretz, makasih...",5
a***a,05/12/2023,Formula Sikat Gigi Extreme Clean Soft,Maturnuwun,5
L***a,05/12/2023,Soklin Softener 500 Renceng,sesuai pesanan,5
L***a,05/12/2023,Tong Tji Teh Melati celup 25s,"sesuai pesanan, expired masih jauh. thx",5
i***n,05/12/2023,Balsem Otot Geliga,mantap,5
i***n,05/12/2023,Mie Sedaap kuah,mantap,5
i***n,05/12/2023,Anget Sari Susu Jahe Renceng isi 10,terimakasih seller barang dah nyampe,5
Noor,05/12/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"pas dapat promo seneng banget, toko recommended paking aman",5
syakira,05/12/2023,Rinso Anti Noda Bubuk 10.000,"barang sampai dengan selamat
pengiriman juga cepat
pokoknya oke.",5
Muhamad,05/12/2023,Rinso Anti Noda Bubuk 10.000,"barang sesuai pesanan, pengiriman juga cepat
thanks seller, recommend pokonya",5
abduh,05/12/2023,Gudang Garam Surya Kaleng isi 50 batang,"Pelayanan Cepat lgsg dikirim, rasa lebih ke surya 16 daripada 12",5
b***g,05/12/2023,TOP Kopi Cappuccino Renceng isi 15sct,packing bagus,5
Tri,05/12/2023,Royco Kaldu Jamur 40gr,,4
Tri,05/12/2023,Inaco Jelly Gum,"rasa enak, isinya 5 pcs.. ada satu pcs yang encer ga tau kenapa kaya udah basi gitu.. tapi yg 4 enak👍",4
Tri,05/12/2023,Pantene Shampoo Renceng,suka banget shampo pantene,5
Tri,05/12/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),sesuai pesanan,5
I***h,05/12/2023,Soklin Liquid Detergent 22ml Renceng ( isi 24 sct + free 2 sct),"pengiriman cepat, tapi tdk ada bonusnya seperti pada nama produk, cuma 24 pcs",5
Maria,05/12/2023,Desaku Kunyit Bubuk Renceng isi 12 sct,puasss bangeeeeet. recommended. . terima kasih,5
NS,05/12/2023,Asepso Sabun Antiseptic,Oke banget,5
NS,05/12/2023,Silet London Bridge isi 5,Mantap,5
T***N,05/12/2023,Sidomuncul Susu Jahe Renceng isi 10 sct,"AlhamduliLlah,,
JazakaLlohukhoir 🙏",5
H***i,05/12/2023,so nice sosis toples isi 24 pcs,"pesanannya sudah sampai di tujuan terima kasih atas pelayanannya sangat baik sekali pengiriman cepat packing aman respon seller sangat baik sekali,",5
Ris,05/12/2023,Sarimi Gelas Renceng isi 10 pcs,"mantap, pesanan pas jumlahnya",5
A***s,05/12/2023,Inaco jelly 5,"barang sudah Saya terima dalam keadaan baik, packing sangat tebal, pengiriman cepat terima kasih",5
A***s,05/12/2023,Cloud 9 Crunchy Box isi 24 pcs,"barang sudah Saya terima dalam keadaan baik, packing sangat tebal, pengiriman cepat terima kasih",5
A***s,05/12/2023,Garuda Ting-Ting permen bag isi 50pcs,"barang sudah Saya terima dalam keadaan baik, packing sangat tebal, pengiriman cepat terima kasih",5
abduh,05/12/2023,lays rumput laut 168 gr,Selalu update stok gan overall pelayanan bagus,5
abduh,05/12/2023,whiskas pouch chicken tuna 85gr,Terima kasih barang cepat sampai,5
abduh,05/12/2023,Sukro Oven Rasa Bawang 100gr,Seller ramah produk sampai,5
